	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	method
BOBseq_ctl_1	81.92369765191648	-3.7644661296145587	43.66777092280183	-7.66611356599283	-5.274963101220931	0.6174292123430346	-4.763386735390682	6.282173651335111	-2.374931900733288	-3.584760013736103	BOBseq
BOBseq_ctl_2	79.25405702591577	-4.343570718476003	42.337128930706314	-7.531250164430933	-4.026513237945849	1.0641515706099016	2.1806417092205255	-4.086120627664075	11.944757609914296	0.15706963584653433	BOBseq
BOBseq_ctl_3	84.82005142472964	-2.2135902777287733	43.404643440086105	-6.980526190338708	0.5639365627086721	-2.120825201021896	0.25605202592594617	1.59495443954646	-10.221032569853389	1.5859805544768157	BOBseq
prime-seq_1	-43.24289548473423	13.706898705224596	22.24643709657718	3.4172978656682584	1.5228394246445933	6.286109740113482	-29.51020054913795	-19.047664475793812	20.989947987853057	5.511451736342738	prime-seq
prime-seq_2	-49.9742917822953	13.617740968415099	17.4660992146755	1.5093287586840882	1.7331013688529888	9.045357986851101	-4.485114618100548	0.6580958925343606	-2.00660915308971	10.628015239991875	prime-seq
prime-seq_3	-47.397001905045805	17.51648506069812	21.122844772092943	0.33570767538332874	-2.149411154188092	-2.56383398298602	-5.918000541714034	4.959437243623525	-24.907296447663676	5.465384230290326	prime-seq
prime-seq_4	-49.00583065114108	17.178699022822098	22.87587948327294	1.2009443909563584	3.972070695707337	3.8661423823911507	2.4153566128228228	16.651128795370788	-3.6975574382276326	1.2342459992472559	prime-seq
prime-seq_5	-44.05002458938382	15.99703066064311	22.818276770812144	1.9309699748865672	-1.9199941097096989	-5.41358787559947	33.61009651899422	-8.997619984966173	19.026454826995877	-3.211080436919601	prime-seq
prime-seq_6	-48.03837511584962	17.484920279913506	23.08392046524281	1.069659157172781	0.8749591638948601	-7.872594397130667	5.934869775027636	-0.13603921787013495	2.424361045475323	17.54695835171857	prime-seq
prime-seq_7	-46.90611384386067	16.69899235585836	21.910887544884638	1.0328032049800786	0.2316997492748546	-1.9680638125029422	7.40578059903798	-7.937393720972611	-7.984745202154095	-23.919921445281076	prime-seq
prime-seq_8	-49.54730283655849	8.038704210797341	10.47635925528582	1.774321121876791	-0.903264813271487	1.8517367112088046	-10.85596153099117	12.710688267415227	-4.627893322989446	-14.349010110487555	prime-seq
BRB-seq_1	18.483719924830144	36.60990386973446	-24.589268322311753	-1.5702032049395493	6.5000542435017	-6.183771777766172	2.423367106646819	13.77712313977904	-0.26653953455509277	6.663460033808593	BRB-seq
BRB-seq_2	4.379927489702693	23.207419168852365	-24.552643009912888	-4.766668110909241	-27.94198720025407	-41.07737773040706	-10.013058423323885	-4.018679572597478	-0.6084915822540657	-1.3488330330970566	BRB-seq
