## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode16.ins500.mltmp.bam --OUTPUT barcode16.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:16 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
25194335	13168945		0	2522713	366185	10280047	0	0	0	5911	7051	120	0.456025	0.543975		0	0.191565	0.027807	0.780628	0.191565	0.10013	0	1.377607	0	0.25813	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.113661
1	0.197918
2	0.242292
3	0.267378
4	0.31589
5	0.371026
6	0.41584
7	0.443181
8	0.458482
9	0.493361
10	0.527273
11	0.558629
12	0.571183
13	0.567242
14	0.5849
15	0.601693
16	0.628847
17	0.626328
18	0.627698
19	0.622311
20	0.613395
21	0.611982
22	0.615328
23	0.622689
24	0.671591
25	0.720794
26	0.808828
27	0.81724
28	0.734531
29	0.715726
30	0.757496
31	0.791827
32	0.762213
33	0.764832
34	0.7975
35	0.791835
36	0.817113
37	0.830771
38	0.827049
39	0.792892
40	0.787461
41	0.813756
42	0.84848
43	0.879503
44	0.915867
45	0.965381
46	0.988159
47	1.002762
48	1.020922
49	1.018966
50	0.955665
51	0.887384
52	0.915519
53	0.963353
54	0.992165
55	1.001342
56	1.015638
57	1.030057
58	1.162661
59	1.297518
60	1.314311
61	1.354982
62	1.305979
63	1.249239
64	1.263085
65	1.213216
66	1.234928
67	1.258946
68	1.279645
69	1.293961
70	1.308816
71	1.272555
72	1.285892
73	1.374841
74	1.469156
75	1.510561
76	1.550491
77	1.534461
78	1.501941
79	1.5089
80	1.502445
81	1.527403
82	1.514137
83	1.584827
84	1.721617
85	1.804628
86	1.839231
87	1.822633
88	1.780084
89	1.648967
90	1.521571
91	1.477361
92	1.41991
93	1.429996
94	1.403853
95	1.275704
96	1.147908
97	1.062573
98	0.913748
99	0.746417
100	0.57057

