## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode11.ins500.mltmp.bam --OUTPUT barcode11.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:01:07 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
14935065	8331378		0	788848	156305	7386225	0	0	0	1350	1668	52	0.447316	0.552684		0	0.094684	0.018761	0.886555	0.094684	0.052819	0	1.010893	0.023322	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.241439
1	0.333725
2	0.3974
3	0.438806
4	0.48311
5	0.575608
6	0.706186
7	0.799601
8	0.80644
9	0.865936
10	0.881905
11	0.955791
12	1.01109
13	1.046853
14	1.071932
15	1.047006
16	1.10941
17	1.122021
18	1.0683
19	1.080611
20	1.179972
21	1.223577
22	1.278622
23	1.270728
24	1.228446
25	1.240128
26	1.275096
27	1.290521
28	1.346498
29	1.428883
30	1.339528
31	1.312287
32	1.304323
33	1.273039
34	1.254588
35	1.215827
36	1.315345
37	1.293521
38	1.361409
39	1.444865
40	1.460165
41	1.458064
42	1.393744
43	1.460711
44	1.549477
45	1.570392
46	1.563597
47	1.626333
48	1.645439
49	1.603692
50	1.609627
51	1.597817
52	1.60056
53	1.575164
54	1.598254
55	1.481749
56	1.396131
57	1.375503
58	1.37479
59	1.330109
60	1.324437
61	1.360424
62	1.229788
63	1.151955
64	1.185735
65	1.158962
66	1.175669
67	1.159889
68	1.075598
69	0.983445
70	0.905321
71	0.815448
72	0.673599
73	0.658587
74	0.640461
75	0.63087
76	0.632475
77	0.611217
78	0.634295
79	0.58615
80	0.565725
81	0.63638
82	0.68605
83	0.75863
84	0.724215
85	0.653775
86	0.627574
87	0.595902
88	0.558215
89	0.494439
90	0.429608
91	0.397102
92	0.361562
93	0.316583
94	0.302007
95	0.307235
96	0.241988
97	0.227999
98	0.213841
99	0.212158
100	0.186545

