## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT HUMAN.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode16.ins500.mltmp.bam --OUTPUT barcode16.human.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:14 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
25194335	13168945		0	5256553	557762	7354630	0	0	0	11400	14501	245	0.440137	0.559863		0	0.399163	0.042354	0.558483	0.399163	0.20864	0	1.195728	0.094727	0.253216	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.259124
1	0.360633
2	0.483919
3	0.587733
4	0.675206
5	0.752795
6	0.827434
7	0.862752
8	0.894988
9	0.923614
10	0.921235
11	0.92731
12	0.931119
13	0.916271
14	0.898353
15	0.890786
16	0.877018
17	0.869064
18	0.885889
19	0.906049
20	0.914827
21	0.907834
22	0.882797
23	0.873397
24	0.876029
25	0.864562
26	0.878821
27	0.854745
28	0.8526
29	0.873132
30	0.877824
31	0.873344
32	0.874355
33	0.835137
34	0.826687
35	0.818747
36	0.794948
37	0.784129
38	0.787548
39	0.830956
40	0.87349
41	0.879772
42	0.897807
43	0.928459
44	0.948222
45	0.967917
46	0.96593
47	0.972875
48	0.974142
49	0.982512
50	0.994519
51	1.032192
52	1.047648
53	1.067746
54	1.118304
55	1.153834
56	1.179566
57	1.212993
58	1.208781
59	1.193574
60	1.157676
61	1.142437
62	1.13761
63	1.120222
64	1.136814
65	1.118475
66	1.114354
67	1.145977
68	1.183007
69	1.213609
70	1.239227
71	1.283238
72	1.285155
73	1.289822
74	1.277562
75	1.288846
76	1.345849
77	1.344271
78	1.3383
79	1.377578
80	1.424406
81	1.437217
82	1.428834
83	1.405897
84	1.387224
85	1.339057
86	1.313286
87	1.304249
88	1.269755
89	1.233351
90	1.208034
91	1.17517
92	1.109059
93	1.054717
94	0.965653
95	0.862709
96	0.75945
97	0.638063
98	0.504127
99	0.361708
100	0.25762

