## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT HUMAN.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode01.ins500.mltmp.bam --OUTPUT barcode01.human.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:32 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
82972911	48819756		0	1506011	622819	46690926	0	0	0	2624	2874	87	0.477264	0.522736		0	0.030848	0.012758	0.956394	0.030848	0.018151	0	1.003291	0.447804	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.197852
1	0.252863
2	0.388
3	0.482853
4	0.515017
5	0.578975
6	0.667369
7	0.75917
8	0.808059
9	0.891804
10	0.9785
11	1.062364
12	1.132323
13	1.283025
14	1.392164
15	1.497446
16	1.610131
17	1.68883
18	1.762649
19	1.797461
20	1.798059
21	1.760297
22	1.759347
23	1.921215
24	1.927659
25	1.896766
26	1.833746
27	1.801288
28	1.759078
29	1.729101
30	1.699587
31	1.654685
32	1.62039
33	1.636129
34	1.623438
35	1.56908
36	1.52615
37	1.476647
38	1.372153
39	1.304305
40	1.235252
41	1.224374
42	1.218256
43	1.188388
44	1.175803
45	1.140108
46	1.194551
47	1.17512
48	1.178341
49	1.173938
50	1.210325
51	1.209295
52	1.204728
53	1.109807
54	1.025054
55	1.038632
56	1.07833
57	1.014725
58	0.955094
59	0.969358
60	0.921806
61	0.894013
62	0.875444
63	0.894592
64	0.895086
65	0.872486
66	0.843476
67	0.837099
68	0.793432
69	0.758717
70	0.722005
71	0.692524
72	0.656971
73	0.617873
74	0.632582
75	0.608139
76	0.590087
77	0.573795
78	0.57129
79	0.567816
80	0.610742
81	0.632828
82	0.599972
83	0.569963
84	0.535344
85	0.556465
86	0.541384
87	0.537083
88	0.524115
89	0.497197
90	0.486706
91	0.473193
92	0.45069
93	0.390004
94	0.357296
95	0.316899
96	0.295302
97	0.238169
98	0.226487
99	0.225469
100	0.179367

