## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode04.ins500.mltmp.bam --OUTPUT barcode04.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:00:44 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
155564139	85404562		0	2869075	1284028	81251459	0	0	0	6957	7243	204	0.48993	0.51007		0	0.033594	0.015035	0.951371	0.033594	0.018443	0	1.099083	0.260444	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.421367
1	0.518215
2	0.566144
3	0.674612
4	0.714104
5	0.733664
6	0.868938
7	0.951648
8	0.958721
9	1.083967
10	1.063427
11	1.090386
12	1.114746
13	1.171626
14	1.187682
15	1.188215
16	1.202342
17	1.196211
18	1.155311
19	1.16531
20	1.186035
21	1.216904
22	1.221429
23	1.282244
24	1.324575
25	1.347861
26	1.296714
27	1.287293
28	1.230236
29	1.186214
30	1.156235
31	1.127206
32	1.143525
33	1.107314
34	1.115854
35	1.135196
36	1.17204
37	1.144153
38	1.119099
39	1.080759
40	1.094643
41	1.129833
42	1.151712
43	1.122081
44	1.13634
45	1.124216
46	1.125142
47	1.195327
48	1.273499
49	1.264087
50	1.192883
51	1.166849
52	1.198259
53	1.177938
54	1.089405
55	1.075437
56	1.090593
57	1.081713
58	1.066568
59	1.075229
60	1.092033
61	1.079912
62	1.017604
63	1.025527
64	1.017122
65	1.061907
66	1.090396
67	1.140071
68	1.118699
69	1.089977
70	1.013666
71	1.005396
72	0.968655
73	0.982147
74	0.9389
75	0.968868
76	1.007706
77	0.997345
78	0.959346
79	0.927716
80	0.893835
81	0.840853
82	0.852483
83	0.831667
84	0.819063
85	0.777926
86	0.794353
87	0.780019
88	0.733574
89	0.749881
90	0.754872
91	0.744081
92	0.720559
93	0.631396
94	0.598939
95	0.553036
96	0.519751
97	0.500751
98	0.455289
99	0.351711
100	0.218052

