## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT HUMAN.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode09.ins500.mltmp.bam --OUTPUT barcode09.human.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:00:54 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
33805435	18961536		0	2215640	523289	16222607	0	0	0	4155	5033	108	0.45222	0.54778		0	0.116849	0.027597	0.855553	0.116849	0.065541	0	1.006351	0.150592	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.21235
1	0.238168
2	0.330154
3	0.384112
4	0.44318
5	0.524694
6	0.539529
7	0.529989
8	0.603041
9	0.715621
10	0.788256
11	0.887873
12	0.962462
13	1.023688
14	1.123324
15	1.193668
16	1.267507
17	1.32885
18	1.405853
19	1.493265
20	1.536925
21	1.510352
22	1.443092
23	1.421885
24	1.407219
25	1.390023
26	1.349115
27	1.313414
28	1.273437
29	1.258831
30	1.239987
31	1.210272
32	1.170365
33	1.155823
34	1.154562
35	1.178447
36	1.216833
37	1.24877
38	1.268782
39	1.294092
40	1.304887
41	1.312225
42	1.316649
43	1.292267
44	1.285371
45	1.266016
46	1.284559
47	1.252124
48	1.276384
49	1.325907
50	1.322191
51	1.370314
52	1.36413
53	1.325261
54	1.303873
55	1.293822
56	1.319346
57	1.341071
58	1.350885
59	1.337677
60	1.320289
61	1.235413
62	1.205076
63	1.190735
64	1.238459
65	1.24383
66	1.206727
67	1.139728
68	1.105539
69	1.044651
70	1.056832
71	1.047985
72	0.992806
73	0.990311
74	0.990719
75	0.94206
76	0.871699
77	0.781874
78	0.73461
79	0.758839
80	0.832586
81	0.806997
82	0.760562
83	0.758375
84	0.751653
85	0.741041
86	0.714285
87	0.674804
88	0.657373
89	0.590703
90	0.534583
91	0.475578
92	0.420272
93	0.36941
94	0.333442
95	0.30991
96	0.28542
97	0.248911
98	0.226741
99	0.211185
100	0.17529

