## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode03.ins500.mltmp.bam --OUTPUT barcode03.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:00:10 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
54053306	31094993		0	855053	298714	29941226	0	0	0	1712	1831	78	0.483206	0.516794		0	0.027498	0.009606	0.962895	0.027498	0.015819	0	1.010521	0.337294	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.165378
1	0.269277
2	0.342303
3	0.429639
4	0.567518
5	0.609468
6	0.721218
7	0.757464
8	0.783832
9	0.807157
10	0.80132
11	0.801417
12	0.790772
13	0.825975
14	0.852832
15	0.900464
16	1.01115
17	1.054791
18	1.007068
19	1.094106
20	1.222824
21	1.255848
22	1.256916
23	1.29834
24	1.333881
25	1.422494
26	1.475393
27	1.4614
28	1.420666
29	1.496196
30	1.491403
31	1.46919
32	1.408896
33	1.419125
34	1.356318
35	1.157523
36	1.079454
37	1.040429
38	0.97692
39	1.067115
40	1.177303
41	1.223119
42	1.258655
43	1.191091
44	1.225742
45	1.236627
46	1.376585
47	1.373861
48	1.345362
49	1.283094
50	1.325155
51	1.30674
52	1.307761
53	1.294912
54	1.309886
55	1.299078
56	1.216558
57	1.088447
58	1.008988
59	0.993333
60	1.021729
61	1.079738
62	0.996919
63	0.984197
64	1.016885
65	1.008361
66	0.990097
67	1.022227
68	1.100784
69	1.12402
70	1.005449
71	0.97329
72	0.999925
73	1.039574
74	1.062496
75	1.036716
76	1.061656
77	1.084293
78	1.094366
79	1.024958
80	1.026506
81	1.032494
82	0.936568
83	0.871622
84	0.909015
85	0.839239
86	0.809376
87	0.780528
88	0.711183
89	0.739856
90	0.691633
91	0.672316
92	0.643091
93	0.62757
94	0.540641
95	0.501899
96	0.440057
97	0.410071
98	0.348476
99	0.27218
100	0.188976

