## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode01.ins500.mltmp.bam --OUTPUT barcode01.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:34 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
82972911	48819756		0	1276222	415842	47127692	0	0	0	2412	2555	91	0.485605	0.514395		0	0.026142	0.008518	0.965341	0.026142	0.015381	0	1.012092	0.332416	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.151831
1	0.224885
2	0.320884
3	0.453343
4	0.59409
5	0.719833
6	0.807633
7	0.850397
8	0.914832
9	1.011803
10	1.048548
11	1.055372
12	1.080854
13	1.098375
14	1.125753
15	1.24372
16	1.361545
17	1.364863
18	1.370391
19	1.441323
20	1.459634
21	1.477717
22	1.47963
23	1.501775
24	1.616215
25	1.657365
26	1.659946
27	1.610592
28	1.582316
29	1.533619
30	1.507336
31	1.443822
32	1.291869
33	1.211102
34	1.122838
35	1.084576
36	1.00284
37	0.958714
38	0.912157
39	0.917256
40	0.987942
41	0.942568
42	0.950967
43	1.002671
44	1.028294
45	1.085616
46	1.084497
47	1.077284
48	1.100216
49	1.176212
50	1.188463
51	1.191272
52	1.205196
53	1.234849
54	1.235572
55	1.185218
56	1.106596
57	1.03347
58	1.032582
59	1.02136
60	1.039733
61	1.045177
62	1.104989
63	1.064155
64	0.959739
65	0.925938
66	0.829561
67	0.834313
68	0.839139
69	0.786743
70	0.807206
71	0.875922
72	0.919281
73	0.892061
74	0.920254
75	0.890671
76	0.872411
77	0.843501
78	0.903434
79	0.921503
80	0.893701
81	0.912423
82	0.91518
83	0.985413
84	1.01951
85	1.029133
86	1.011814
87	0.999873
88	0.947917
89	0.846545
90	0.780441
91	0.685522
92	0.607712
93	0.563768
94	0.532502
95	0.448475
96	0.42199
97	0.397221
98	0.344951
99	0.275322
100	0.193389

